date,gross_return,net_return,turnover,trading_cost,growth_gross,drawdown_gross,growth_net,drawdown_net,model
2023-01-05,-0.0030155422431754546,-0.003015542243175462,0.0,0.0,1.186226032182758,-0.03151011950059701,1.1840466862856636,-0.0319040231482568,Base Equity Minimum-Variance
2023-01-06,0.017942186285601534,0.017942186285601514,0.0,0.0,1.207509520629011,-0.014133293648956768,1.2052910725018502,-0.014534264789241358,Base Equity Minimum-Variance
2023-01-09,-0.015487942611290368,-0.015487942611290384,0.0,0.0,1.1888076824709222,-0.02940234061930358,1.186623593541041,-0.029797101541578663,Base Equity Minimum-Variance
2023-01-10,0.003763331617956773,0.0037633316179568332,0.0,0.0,1.193281560010035,-0.025749659759441212,1.1910892516292275,-0.02614590629797664,Base Equity Minimum-Variance
2023-01-11,0.0031174249108916934,0.0031174249108916197,0.0,0.0,1.1970015256709179,-0.022712507479330735,1.1948023829333518,-0.023109989286696164,Base Equity Minimum-Variance
2023-01-12,-0.0042700743804213485,-0.004270074380421374,0.0,0.0,1.1918902401228253,-0.026885597763449454,1.1897004878883217,-0.02728138229393251,Base Equity Minimum-Variance
2023-01-13,0.0037302057609593215,0.003730205760959393,0.0,0.0,1.1963362359629628,-0.02325568081415408,1.1941383155020588,-0.023652941702372976,Base Equity Minimum-Variance
2023-01-17,-0.011463705260327941,-0.011463705260327917,0.0,0.0,1.1826217899616334,-0.03445278980400013,1.1804490658130788,-0.034845496610485194,Base Equity Minimum-Variance
2023-01-18,-0.01961791568962189,-0.0196179156896219,0.0,0.0,1.1594212153934562,-0.05339481356797493,1.1572911155640648,-0.0537798162854396,Base Equity Minimum-Variance
2023-01-19,-0.003173652684853563,-0.0031736526848535895,0.0,0.0,1.1557416151403466,-0.056399009659391264,1.1536182755079978,-0.0567827905119479,Base Equity Minimum-Variance
2023-01-20,0.009736483180201774,0.009736483180201816,0.0,0.0,1.1669944739368199,-0.04721165448811815,1.1648504604438548,-0.047599172016490665,Base Equity Minimum-Variance
2023-01-23,0.007068512668689724,0.007068512668689797,0.0,0.0,1.1752433891601333,-0.040476857997287397,1.1730842206806313,-0.040867114698218576,Base Equity Minimum-Variance
2023-01-24,-0.004448988150641488,-0.004448988150641542,0.0,0.0,1.17001474524764,-0.044745765086323885,1.1678651828831186,-0.04513428553981691,Base Equity Minimum-Variance
2023-01-25,0.00232641490459278,0.002326414904592733,0.0,0.0,1.1727366849895773,-0.042523447396545455,1.1705821218511328,-0.04291287170981217,Base Equity Minimum-Variance
2023-01-26,-0.002290357467581154,-0.0022903574675811056,0.0,0.0,1.1700506987656052,-0.0447164109688345,1.1679010703469341,-0.04510494336121729,Base Equity Minimum-Variance
2023-01-27,-0.0007847907261240017,-0.0007847907261240294,0.0,0.0,1.169132453828119,-0.045466108670324745,1.1669845124178955,-0.045854336146089136,Base Equity Minimum-Variance
