trading_date,ticker,sector,vader_compound,finvader_compound,headline_count
2021-08-18,TTWO,Comm,0.0,0.0323,1
2021-08-18,UPS,Industrials,0.4215,0.4243,1
2021-08-18,USB,Financials,0.4939,0.0,1
2021-08-18,WFC,Financials,0.11334999999999998,0.11557500000000001,4
2021-08-18,WMT,Consumer,-0.03178,0.16158,5
2021-08-18,XOM,Energy,-0.062350000000000017,-0.16597499999999998,4
2021-08-19,ABBV,Healthcare,-0.1531,-0.3506,1
2021-08-19,ADBE,Tech,0.2202,0.2491,2
2021-08-19,AMD,Tech,0.0,0.0065,1
2021-08-19,CMCSA,Comm,0.05165,-0.1436,2
2021-08-19,COP,Energy,0.1366,0.0084,2
2021-08-19,CVX,Energy,-0.06393333333333333,-0.1573,6
2021-08-19,DIS,Consumer,0.22798333333333334,0.0030000000000000014,6
2021-08-19,GILD,Healthcare,0.296,0.296,1
2021-08-19,GS,Financials,0.13201666666666667,0.08851666666666667,6
2021-08-19,INTC,Tech,0.0,-0.1742,2
2021-08-19,KO,Consumer,0.0,0.0026,1
2021-08-19,MMM,Industrials,0.0,0.0,1
2021-08-19,MS,Financials,0.2926333333333333,0.18366666666666667,3
2021-08-19,NEM,Materials,-0.07655,-0.2609,2
2021-08-19,NUE,Materials,0.0,0.00515,2
2021-08-19,NVDA,Tech,0.09742857142857145,0.06775714285714285,21
2021-08-19,O,RealEstate,0.25,0.0284,1
2021-08-19,OXY,Energy,0.3066,-0.005849999999999994,2
2021-08-19,QCOM,Tech,0.0,0.0129,1
2021-08-19,SHW,Materials,0.0,0.0168,1
2021-08-19,T,Comm,0.11242,-0.051500000000000004,5
2021-08-19,UPS,Industrials,0.21075,0.21860000000000002,2
2021-08-19,V,Financials,0.296,-0.0052,1
2021-08-19,WFC,Financials,0.0593,0.05990000000000001,3
2021-08-19,WMT,Consumer,0.2812,0.1955,4
2021-08-19,XOM,Energy,0.07772857142857144,-0.017714285714285714,7
2021-08-20,AMD,Tech,0.0,0.0558,2
2021-08-20,CAT,Industrials,-0.39225,-0.4988,2
2021-08-20,CMCSA,Comm,0.0,0.00385,2
2021-08-20,COP,Energy,0.0,0.0026,1
2021-08-20,CVX,Energy,-0.6634,-0.33690000000000003,2
2021-08-20,D,Utilities,0.6705,0.3889,1
2021-08-20,DIS,Consumer,0.0846,0.000633333333333333,6
2021-08-20,GE,Industrials,0.0,0.3632,1
2021-08-20,GILD,Healthcare,0.0,0.0052,1
2021-08-20,GS,Financials,0.0,0.1806,2
2021-08-20,INTC,Tech,-0.01032,0.02412,5
2021-08-20,KO,Consumer,0.34,0.3442,1
2021-08-20,MMM,Industrials,-0.39225,-0.4988,2
2021-08-20,MRK,Healthcare,0.34,0.5994,1
2021-08-20,MS,Financials,-0.21989999999999998,-0.05846666666666667,3
2021-08-20,NEE,Utilities,0.6705,0.3889,1
2021-08-20,NUE,Materials,0.4019,0.0142,1
2021-08-20,NVDA,Tech,-0.28023,-0.14914,10
2021-08-20,PSA,RealEstate,0.296,0.5719,1
2021-08-20,SBUX,Consumer,0.2023,0.0129,1
2021-08-20,SHW,Materials,-0.3612,-0.3559,1
2021-08-20,SO,Utilities,0.2023,0.0129,1
2021-08-20,T,Comm,0.12861666666666668,0.07905,6
2021-08-20,TMUS,Comm,0.0,0.0,1
2021-08-20,USB,Financials,0.0,0.0,1
2021-08-20,WMT,Consumer,0.07604,0.0428,5
